questionType,logs
Comment proposer un sujet ?,je souhaite partager avec vous une idée de reportage
Tour de France 2021,Pourquoi lors de la transmission du tour de France y a t’il autant de commentaires. On aimerait profiter des images sans bla bla
Comment contacter un animateur ?,qui dois je contacter?
J'aimerai poser une question autour du coronavirus,coronavirus COVID 19
Mon compte france.tv,"Bonjour, Je n'arrive pas à me connecter. J'ai oublié mon identifiant et France TV ne reconnait pas mes dresses mail !"
Comment proposer un sujet ?,JE VOUDRAIS ECRIRE A LA REDACTION DU MAGAZINE TLS SPORT _ A QUI DOIS JE M ADRESSER ?
J'habite à l'étranger,française et domiciliée à Bruxelles je regrette de ne pas pouvoir m inscrire sur les chaînes de france.tv&vous
J'habite à l'étranger,Comment voir france 2 des l'Italie?Merci
Mon compte france.tv,"Bonjour , depuis quelques jours impossible de me connrcter avec mes identifiants et mot de passe , pourquoi"
Comment proposer un sujet ?,Bonjour \nEn mémoire de Christophe Dominici\nPouvez-vous nous diffuser le match de la demi-finale 99 face aux Black \nMerci
Comment contacter le service client ?,comment revoir un documentaire qui n'est plus disponible ne replay
Comment activer les sous-titres ?,pas de sous-titrage
Les directs,acceder au direct F3
Comment proposer un sujet ?,"La présentation sur fond noir était plus attrayante avant l'inscription, comment retrouver ce confort?"
Replay,bonjour j'ai acheté un episode en 2017
Replay,"Bonjour, j'ai commencé à suivre la série District 31, la saison 1, quand sera-t-il possible de voir la saison 2?"
Replay,"je n'ai plus accès aux vidéos sur ma smart tv, ceci du jour au lendemain et je n'arrive pas à télécharger l'application"
J'aimerai poser une question autour du coronavirus,j'ai écrit une chanson sur le confinement
Comment contacter un animateur ?,Mme Marion Muller-Collard intervient dans présence protestante
Comment contacter le service client ?,"Peut on acquérir l'enregistrement en dvd de l'émission sur France 2 du Dimanche 3/01/2021 Le jour du Seigneur"" concernement uniquement la partie integrale des Chrétiens Orientaux relatif au monastère armenien de l'île St Lazare à Venise"""
Mon compte france.tv,problème technique connexion
Replay,oui Replay ou podcast
J'habite à l'étranger,"Moi, je suis espagnole et je suis intéressée à recevoir des émissions de France.tv. Comment peux-je faire?"
J'aimerai poser une question autour du coronavirus,comment poser une question
Comment contacter le service client ?,envoyer un courrier
Replay,"Bonjour, je souhaite savoir si je peux me connecter à Reunion La 1ère en direct"
Comment proposer un sujet ?,pour proposer un reportage sur la sécurité dans les bus et car.Que je pratique.
J'habite à l'étranger,géolocalisation jt francetv
Replay,replay on est en direct nonprésent
S'abonner ou se désabonner à nos newsletters,TOUTES vospublications :je demande l annulation de vos possibilites a acceder a ma boite mail !!!!!!
Les directs,francetv en direct sur monpc sans connexion
Mon compte france.tv,bonjour je n'arrive pas à me connecter
Quel est le programme TV ?,Quel futur sujet à venir pour ça commence aujourd'hui
Comment contacter le service client ?,Quelle est l'adresse mail pour écrire à France 2 ? merci
Replay,Pourquoi l'émission du jeudi 18 juin de tout le monde veut prendre (déprogrammée) n'est-elle pas disponible en replay
Comment activer les sous-titres ?,les sous-titres ne sont pas affichés
Replay,le replay d'un si grans soleil de jeudi est indisponible
Comment contacter le service client ?,Comment répondre à un mail que l'on ma envoyé j'aimerais apporte une précision
Comment contacter le service client ?,pourriez vous me donner le nom de la boutique à Strasbourg qui fait le pain d'épices? L'émission est passée à télématin la semaine derniere. Merci
Replay,La lecture des replays est difficile.
S'abonner ou se désabonner à nos newsletters,SUPPRIMER MON ADRESSE MAIL JE NE VEUX RIEN RECEVOIR
Mon compte france.tv,je souhaiterai m'inscrire
Mon compte france.tv,comment supprimer mon adresse maail
Tour de France 2021,Jeux vip tour de france
S'abonner ou se désabonner à nos newsletters,Bonjour suite à une erreur de manipulation je me suis désabonné contre mon gré à France.tv
Mon compte france.tv,Comment faire pour s'inscrire si ma date de naissance n'ai pas validé ?
S'abonner ou se désabonner à nos newsletters,pas moyen de me désabonner malgré mes tentatives et de plus ayant mis ce site en idésirable je reçois toujours des courriels ...!!! Cordialement exaspérée
Replay,"je n'arrive plus à visionner la vidéo mélanges et corps purs lumni diffusé sur France 4 le 15 mai, pouvez vous m'aider ?"
Replay,"pourrais-je voir le documentaire du 6 janvier 2021 de charlie chaplin, le génie de la liberté ""  Replay"""
Replay,Pourquoi je n'arrive pas à voir en replay la série SECONDE CHANCE DE MARTINIQUE 1ére. Merci
Mon compte france.tv,Bonjour faut il payer mon inscription ?
Replay,impossible voir video de murdoch
Mon compte france.tv,"J ai regardé un replay et j ai eu un prélèvement de 4,50 euros et je veux me désabonner."
Replay,Replay chaîne 7 du 09 juin 2020
Replay,site web de frace.tv via navigateur safari direct France 5 et replay commissanre Dupin de France 3
Replay,je n'ai plus les replays avec la live box orange
Mon compte france.tv,"j'essaie de réinitialiser mon mot de passe, mail il y a un pb avec l'adresse mail"
Replay,"bonjour, impossible de trouver la saison 2 de District 31"
Comment proposer un sujet ?,Je voulais vous signaler mon mécontentement au sujet de la déprogrammation du film avec Richard berry prévu le 12
J'habite à l'étranger,situation géographique
Replay,Il n'y a pas eu le replay du Si Grand Soleil en date du 24 et 25 septembre sur France deux. Les replay sont toujours diffusés en avance.
Secrets d'Histoire,pouriez vous me dire le nom de l'acteur qui joue dans la fiction neron secret d'histoie.
Replay,Pourquoi sur la série Alex Hugo il n'y a que 2 ou 3 épisodes nouveaux et ensuite que des rediffusion dommage car lma série est super
J'habite à l'étranger,Pourquoi nous ne pouvons pas accéder depuis l'étranger
J'aimerai poser une question autour du coronavirus,"Bonjour, puis je aller voir ma mère 92 ans dans un ehpad situé à 75 kms de chez moi? Et avec quel justificatif ?"
J'aimerai poser une question autour du coronavirus,"J'ai 65 ans et je suis, comme la plupart des gens de mon âge autour de moi, complètement d accord pour rester chez moi le temps qu'il faut."
Comment installer Chromecast ?,Depuis ma tablette comment passer sur ma tv connecté les
Replay,"impossibilité de regarder les replays. une petite fenêtre s'ouvre mais c'est un écran noir il n'y a pas les boutons volume, agrandir, lecture, ect"
Replay,non apparemment il figurait sur les videos de France television il y a encore quelques jours mais il a disparu et je navais vu que 3 episodes de la saison 2 comment faire ?
Replay,non vos réponses m'indiquent de tester avec un autre navigateur firefox est bien et marche pour les autre chaînes
Les directs,Regarder en direct
J'aimerai poser une question autour du coronavirus,chien
Comment activer les sous-titres ?,je souhaite estimation de 2 livres sur l'Indochine de 1954
Replay,Où sont les replay d une saison au zoo???
Comment contacter le service client ?,est-il possible de recevoir une copie sur DVD de la derniere emission de Taratata du 24 novembre? en payant bien sûr!
J'aimerai poser une question autour du coronavirus,"Je suis choquée de voir dans un certain nombre de reortage au moment des infos sur France 2, des personnes portant le masque uniquement sur la bouche, cela ne sert à rien et montre un mauvais exemple de l'utilisation du masque"
S'abonner ou se désabonner à nos newsletters,je ne peux ouvrir aucune de vos newsletter
Comment contacter le service client ?,...... C'EST TRES INQUITETANT Pour une structure comme F-TELeLEVisioNS d'OFFRIR UN SI PIETRE SERVICE DE CONTACT avec les TELESPECTATEURS ! ! !
Replay,bonjour comment regarder france4 en replay
Replay,JE TROUVR QUE C EST PAS CLAIR DU TOUT VOTRE REPONSE C EST IMPERSONEL J AI EU UN PROBLEME IL Y A 3 SEMAINES POUR UN REPLAY D UN E SERIE SUR FRANCE 2 C ETAIT POUR REUNIONS L EPISODE 4 NE SE VISIONNAIT PAS ET NOUS RENVOYAIT A L EPISODE 3 ET
Mon compte france.tv,Je voudrais me déconnecter à france tv pour le remettre
Comment contacter le service client ?,Appel à témoin
Replay,Cela ne marche pas. On me renvoie aux articles les plus consultés. je ne peux pas accéder à autre chose.
Comment proposer un sujet ?,"Bonjour, comment proposer des programmes ?"
Comment contacter un animateur ?,"bonjour, je cherche un contact pour obtenir les droits pour reproduire un extrait d'une émission."
Replay,comment accéder au replay
Comment contacter le service client ?,Dans ce cas donnez-moi le moyen de réagir PAR LE FORMULAIRE. Merci
Les directs,CHAINE FRANC 4 ET FRANCE 5 INDISPONIBLES.
S'abonner ou se désabonner à nos newsletters,désabonner totalement
J'aimerai poser une question autour du coronavirus,licencié
Comment contacter le service client ?,"je ne connais rien azu numérique ; peut-on enregistrer"" un documentaire (Arctique la guerre des pôles) sur mon ordinateur ou plutôt sur une clé USB ? Merci à) vous. Excellente programmation. Je travaille sur l'Arctique"""
Comment contacter le service client ?,envoyer un courriel
Mon compte france.tv,"je connais parfaitement mon mot de passe, je veux supprimer mon compte"
Comment proposer un sujet ?,je voudrais faire une commentaire sur une émission
Mon compte france.tv,"pourquoi me demande t on de me connecter alors,"
Replay,Pourquoi ces pubs inopinées sur les replay des programmes ?
J'aimerai poser une question autour du coronavirus,"J'ajoute que nous sommes obligés de rédiger des bulletins au troisième trimestre alors que nous n'avons pas les élèves devant nous et nous devons faire les conseils de classe, en plus ! Je ne connais aucun métier dans lequel on accepterait"
Replay,"comment voir la série unforgotten"""
Comment contacter le service client ?,Je ne comprends pas le message de désactivation de mon compte. Je n'ai jamais rien demandé: ni abonnement ni désabonnement
Mon compte france.tv,quitter Franve TV définitivement
Comment contacter le service client ?,pour parleta quel q'unu
Comment activer les sous-titres ?,Pourquoi le sous-titrage ne fonctionne pas?
Replay,"Je viens de voir la fin de un documentaire sur le train en France dans la categorie 'dans votre region'. J'aimerais le voir en entier,mais je ne trouve pas en replay"
Comment contacter le service client ?,J'aimerai demander une vidéo d'une émission qui s'apelle Qui est Qui ?
Comment proposer un sujet ?,"bonjour je voulais juste remercier C Gessler et ses équipes pour l'excellentissime Racines et ailes consacré aux chemons du Mont St Michel. Vraiment bravo, un vrai bonheur, une très belle et émouvante émission"
Comment contacter le service client ?,"bonjour, je cherche à retrouver un film documentaire sur la vie de thomas Mann tourné chez moi à Sanary, pouvez-vous m'aider ?"
Tour de France 2021,"Bonjour, je cherche a m'inscrire au tirage au sort pour assister a la 19 ème étape du tour mais je ne trouve pas le"
Replay,Je n’arrive pas à me connecter
Mon compte france.tv,"Mon mot de passe est devenu invalide ??? J'ai déjà fait une demande pour le réinitialiser, le lien m'amène directement sur une page d'infos sans que je pûisse réinitialiser à un endroit quelconque mon mot de passe tout en ayant fait https:/"
S'abonner ou se désabonner à nos newsletters,Se déshabonner
Mon compte france.tv,Supprimer un compte comment faire pour en créer un nouveau
Comment contacter le service client ?,"Bonjour, je voudrais pas etre pris pour ce que je suis pas , mais je reçois Francxe 5 par satellite et je peux pas regarder sur mon PC !!de qui vous moquez vous ??"
